TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.51200	0.04062
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.34100	0.03853
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.30700	0.03749
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.38800	0.03960
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11800	0.02622
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.05900	0.01915
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.34200	0.03855
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.05700	0.01884
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.53200	0.04055
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.33100	0.03824
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.31000	0.03759
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.36800	0.03919
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10500	0.02491
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08700	0.02290
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.33400	0.03833
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06600	0.02018
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.04000	0.01593
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.54500	0.04047
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.35300	0.03884
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.29300	0.03699
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.38100	0.03947
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11200	0.02563
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08600	0.02279
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.36500	0.03913
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.05600	0.01869
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.52800	0.04057
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.34600	0.03866
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.29600	0.03710
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.35400	0.03886
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11900	0.02631
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08800	0.02302
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.34900	0.03874
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07800	0.02179
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.04300	0.01649
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.54700	0.04046
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.33100	0.03824
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.32600	0.03810
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.39600	0.03975
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11500	0.02593
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08200	0.02230
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.36800	0.03919
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09000	0.02326
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.06800	0.02046
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.54000	0.04051
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.37900	0.03943
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.31800	0.03785
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.37600	0.03937
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11100	0.02553
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08000	0.02205
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.36200	0.03906
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.04400	0.01667
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.10000	0.10000	0.02000	1000.00000	0.58800	0.04000
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.41700	0.04007
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.10000	0.90000	0.02000	1000.00000	0.35900	0.03899
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.41400	0.04003
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12700	0.02706
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.10800	0.02522
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.37300	0.03930
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08900	0.02314
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.05200	0.01804
