TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.12700	0.02706
4800.00000	4.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11800	0.02622
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.11300	0.02573
4800.00000	4.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11300	0.02573
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.11100	0.02553
4800.00000	4.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.09600	0.02394
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.12200	0.02660
4800.00000	4.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.09800	0.02416
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.11600	0.02602
4800.00000	4.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.13100	0.02742
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.12300	0.02669
4800.00000	4.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11200	0.02563
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.13500	0.02777
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12000	0.02641
4800.00000	4.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.12300	0.02669
4800.00000	4.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12800	0.02715
4800.00000	4.00000	20000.00000	0.00046	1.00000	0.00005	0.00000	1.05000	0.50000	0.50000	0.02000	1000.00000	0.15700	0.02957
