TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
160.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10400	0.02481
160.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11100	0.02553
160.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.09800	0.02416
160.00000	16.00000	20000.00000	0.00016	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11200	0.02563
160.00000	16.00000	20000.00000	0.00026	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12200	0.02660
160.00000	16.00000	20000.00000	0.00026	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11300	0.02573
160.00000	16.00000	20000.00000	0.00043	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10700	0.02512
160.00000	16.00000	20000.00000	0.00043	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12100	0.02650
160.00000	16.00000	20000.00000	0.00070	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.09800	0.02416
160.00000	16.00000	20000.00000	0.00070	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10900	0.02533
160.00000	16.00000	20000.00000	0.00113	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11100	0.02553
160.00000	16.00000	20000.00000	0.00113	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10400	0.02481
160.00000	16.00000	20000.00000	0.00183	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12300	0.02669
160.00000	16.00000	20000.00000	0.00183	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10200	0.02460
160.00000	16.00000	20000.00000	0.00298	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.12200	0.02660
