TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
160.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08200	0.02230
160.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
160.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07100	0.02087
160.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07000	0.02074
160.00000	16.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06900	0.02060
160.00000	16.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07300	0.02114
160.00000	16.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.05900	0.01915
160.00000	16.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08800	0.02302
160.00000	16.00000	20000.00000	0.00046	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07300	0.02114
160.00000	16.00000	20000.00000	0.00046	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07500	0.02141
160.00000	16.00000	20000.00000	0.00068	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07700	0.02167
160.00000	16.00000	20000.00000	0.00068	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07500	0.02141
160.00000	16.00000	20000.00000	0.00100	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
160.00000	16.00000	20000.00000	0.00100	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
160.00000	16.00000	20000.00000	0.00147	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07000	0.02074
160.00000	16.00000	20000.00000	0.00147	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07800	0.02179
160.00000	16.00000	20000.00000	0.00215	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08000	0.02205
160.00000	16.00000	20000.00000	0.00215	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08400	0.02254
160.00000	16.00000	20000.00000	0.00316	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07900	0.02192
160.00000	16.00000	20000.00000	0.00316	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06900	0.02060
160.00000	16.00000	20000.00000	0.00464	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
160.00000	16.00000	20000.00000	0.00464	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07400	0.02127
160.00000	16.00000	20000.00000	0.00681	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08400	0.02254
160.00000	16.00000	20000.00000	0.00681	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06200	0.01960
160.00000	16.00000	20000.00000	0.01000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09400	0.02372
160.00000	16.00000	20000.00000	0.01000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07400	0.02127
160.00000	16.00000	20000.00000	0.01468	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07300	0.02114
160.00000	16.00000	20000.00000	0.01468	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09700	0.02405
160.00000	16.00000	20000.00000	0.02154	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06900	0.02060
160.00000	16.00000	20000.00000	0.02154	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06700	0.02032
160.00000	16.00000	20000.00000	0.03162	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08000	0.02205
160.00000	16.00000	20000.00000	0.03162	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06700	0.02032
160.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09100	0.02337
160.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08600	0.02279
160.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10500	0.02491
160.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08400	0.02254
160.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08700	0.02290
160.00000	16.00000	20000.00000	0.10000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09600	0.02394
160.00000	16.00000	20000.00000	0.14678	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07800	0.02179
160.00000	16.00000	20000.00000	0.14678	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07500	0.02141
160.00000	16.00000	20000.00000	0.21544	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08300	0.02242
160.00000	16.00000	20000.00000	0.21544	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08700	0.02290
160.00000	16.00000	20000.00000	0.31623	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09200	0.02349
160.00000	16.00000	20000.00000	0.31623	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09400	0.02372
160.00000	16.00000	20000.00000	0.46416	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10600	0.02502
160.00000	16.00000	20000.00000	0.46416	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07700	0.02167
160.00000	16.00000	20000.00000	0.68129	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08400	0.02254
160.00000	16.00000	20000.00000	0.68129	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09900	0.02427
160.00000	16.00000	20000.00000	1.00000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.11500	0.02593
160.00000	16.00000	20000.00000	1.00000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10100	0.02449
800.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08600	0.02279
800.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07800	0.02179
800.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
800.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07900	0.02192
800.00000	16.00000	20000.00000	0.00022	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07200	0.02101
800.00000	16.00000	20000.00000	0.00022	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.06100	0.01945
800.00000	16.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08100	0.02217
800.00000	16.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07100	0.02087
800.00000	16.00000	20000.00000	0.00046	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07700	0.02167
800.00000	16.00000	20000.00000	0.00046	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07000	0.02074
800.00000	16.00000	20000.00000	0.00068	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09200	0.02349
800.00000	16.00000	20000.00000	0.00068	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08900	0.02314
800.00000	16.00000	20000.00000	0.00100	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
800.00000	16.00000	20000.00000	0.00100	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08000	0.02205
800.00000	16.00000	20000.00000	0.00147	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08700	0.02290
800.00000	16.00000	20000.00000	0.00147	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08300	0.02242
800.00000	16.00000	20000.00000	0.00215	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10000	0.02438
800.00000	16.00000	20000.00000	0.00215	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
800.00000	16.00000	20000.00000	0.00316	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08300	0.02242
800.00000	16.00000	20000.00000	0.00316	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07500	0.02141
800.00000	16.00000	20000.00000	0.00464	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10700	0.02512
800.00000	16.00000	20000.00000	0.00464	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
800.00000	16.00000	20000.00000	0.00681	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.11500	0.02593
800.00000	16.00000	20000.00000	0.00681	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08200	0.02230
800.00000	16.00000	20000.00000	0.01000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.12100	0.02650
800.00000	16.00000	20000.00000	0.01000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08300	0.02242
800.00000	16.00000	20000.00000	0.01468	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.13600	0.02786
800.00000	16.00000	20000.00000	0.01468	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09200	0.02349
800.00000	16.00000	20000.00000	0.02154	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.14600	0.02870
800.00000	16.00000	20000.00000	0.02154	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08100	0.02217
800.00000	16.00000	20000.00000	0.03162	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.15600	0.02949
800.00000	16.00000	20000.00000	0.03162	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08100	0.02217
800.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.13900	0.02812
800.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09500	0.02383
800.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.14100	0.02828
800.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10400	0.02481
800.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.13300	0.02760
800.00000	16.00000	20000.00000	0.10000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09500	0.02383
800.00000	16.00000	20000.00000	0.14678	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.13600	0.02786
800.00000	16.00000	20000.00000	0.14678	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10500	0.02491
800.00000	16.00000	20000.00000	0.21544	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.09800	0.02416
800.00000	16.00000	20000.00000	0.21544	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.14700	0.02878
800.00000	16.00000	20000.00000	0.31623	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.11000	0.02543
800.00000	16.00000	20000.00000	0.31623	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.13000	0.02733
800.00000	16.00000	20000.00000	0.46416	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10900	0.02533
800.00000	16.00000	20000.00000	0.46416	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.15400	0.02933
800.00000	16.00000	20000.00000	0.68129	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.10300	0.02470
800.00000	16.00000	20000.00000	0.68129	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.16000	0.02979
800.00000	16.00000	20000.00000	1.00000	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.12900	0.02724
800.00000	16.00000	20000.00000	1.00000	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.16500	0.03017
1600.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08500	0.02266
1600.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08600	0.02279
