TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.34000	0.03850
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.20000	0.02000	1000.00000	0.21500	0.03339
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.30000	0.02000	1000.00000	0.17400	0.03081
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.40000	0.02000	1000.00000	0.13100	0.02742
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10700	0.02512
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.60000	0.02000	1000.00000	0.10000	0.02438
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.70000	0.02000	1000.00000	0.08200	0.02230
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.80000	0.02000	1000.00000	0.08700	0.02290
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.07100	0.02087
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.34400	0.03861
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.20000	0.02000	1000.00000	0.18900	0.03182
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.30000	0.02000	1000.00000	0.16400	0.03009
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.40000	0.02000	1000.00000	0.12500	0.02688
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.10600	0.02502
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.60000	0.02000	1000.00000	0.10600	0.02502
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.70000	0.02000	1000.00000	0.09500	0.02383
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.80000	0.02000	1000.00000	0.07900	0.02192
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.07400	0.02127
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.36700	0.03917
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.20000	0.02000	1000.00000	0.22900	0.03415
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.30000	0.02000	1000.00000	0.16400	0.03009
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.40000	0.02000	1000.00000	0.13400	0.02768
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.11400	0.02583
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.60000	0.02000	1000.00000	0.10500	0.02491
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.70000	0.02000	1000.00000	0.09500	0.02383
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.80000	0.02000	1000.00000	0.09300	0.02360
3200.00000	16.00000	20000.00000	0.00016	1.00000	0.00005	0.00000	1.50000	0.50000	0.90000	0.02000	1000.00000	0.08400	0.02254
3200.00000	16.00000	20000.00000	0.00016	0.00000	0.00005	0.00000	1.50000	0.50000	0.10000	0.02000	1000.00000	0.37500	0.03934
3200.00000	16.00000	20000.00000	0.00016	0.00000	0.00005	0.00000	1.50000	0.50000	0.20000	0.02000	1000.00000	0.21000	0.03310
