TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.32600	0.03810
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.20000	0.02000	1000.00000	0.17600	0.03095
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.30000	0.02000	1000.00000	0.13800	0.02803
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.40000	0.02000	1000.00000	0.11000	0.02543
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07600	0.02154
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.60000	0.02000	1000.00000	0.05400	0.01837
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.70000	0.02000	1000.00000	0.06400	0.01989
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.80000	0.02000	1000.00000	0.04900	0.01754
3200.00000	16.00000	20000.00000	0.00010	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.03700	0.01534
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.32400	0.03803
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.20000	0.02000	1000.00000	0.18800	0.03175
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.30000	0.02000	1000.00000	0.11300	0.02573
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.40000	0.02000	1000.00000	0.08500	0.02266
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.07100	0.02087
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.60000	0.02000	1000.00000	0.06700	0.02032
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.70000	0.02000	1000.00000	0.05300	0.01821
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.80000	0.02000	1000.00000	0.05400	0.01837
3200.00000	16.00000	20000.00000	0.00010	0.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.04500	0.01685
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.33100	0.03824
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.20000	0.02000	1000.00000	0.22600	0.03399
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.30000	0.02000	1000.00000	0.12300	0.02669
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.40000	0.02000	1000.00000	0.08400	0.02254
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08700	0.02290
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.60000	0.02000	1000.00000	0.06100	0.01945
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.70000	0.02000	1000.00000	0.06000	0.01930
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.80000	0.02000	1000.00000	0.04800	0.01737
3200.00000	16.00000	20000.00000	0.00015	1.00000	0.00005	0.00000	1.50000	1.00000	0.90000	0.02000	1000.00000	0.05600	0.01869
3200.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.10000	0.02000	1000.00000	0.32400	0.03803
3200.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.20000	0.02000	1000.00000	0.17700	0.03102
3200.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.30000	0.02000	1000.00000	0.11500	0.02593
3200.00000	16.00000	20000.00000	0.00015	0.00000	0.00005	0.00000	1.50000	1.00000	0.40000	0.02000	1000.00000	0.09000	0.02326
