TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
3200.00000	16.00000	20000.00000	0.03162	0.00000	0.00005	0.00000	1.50000	0.90000	0.50000	0.02000	1000.00000	0.20300	0.03269
3200.00000	16.00000	20000.00000	0.03162	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.15900	0.02972
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.01000	0.50000	0.02000	1000.00000	1.00000	0.00000
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.94300	0.01884
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.20000	0.50000	0.02000	1000.00000	0.75300	0.03505
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.30000	0.50000	0.02000	1000.00000	0.59700	0.03986
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.40000	0.50000	0.02000	1000.00000	0.54200	0.04049
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.46900	0.04056
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.60000	0.50000	0.02000	1000.00000	0.41100	0.03999
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.70000	0.50000	0.02000	1000.00000	0.38600	0.03956
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.80000	0.50000	0.02000	1000.00000	0.35800	0.03896
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	0.90000	0.50000	0.02000	1000.00000	0.34800	0.03871
3200.00000	16.00000	20000.00000	0.04642	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.29400	0.03703
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.01000	0.50000	0.02000	1000.00000	1.00000	0.00000
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.73700	0.03578
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.20000	0.50000	0.02000	1000.00000	0.50500	0.04063
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.30000	0.50000	0.02000	1000.00000	0.38600	0.03956
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.40000	0.50000	0.02000	1000.00000	0.30300	0.03735
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.26700	0.03595
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.60000	0.50000	0.02000	1000.00000	0.26800	0.03600
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.70000	0.50000	0.02000	1000.00000	0.22200	0.03378
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.80000	0.50000	0.02000	1000.00000	0.21800	0.03356
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	0.90000	0.50000	0.02000	1000.00000	0.20200	0.03263
3200.00000	16.00000	20000.00000	0.04642	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.19400	0.03214
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.01000	0.50000	0.02000	1000.00000	1.00000	0.00000
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.96000	0.01593
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.20000	0.50000	0.02000	1000.00000	0.72800	0.03616
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.30000	0.50000	0.02000	1000.00000	0.54700	0.04046
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.40000	0.50000	0.02000	1000.00000	0.44900	0.04042
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.38500	0.03955
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.60000	0.50000	0.02000	1000.00000	0.36100	0.03903
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.70000	0.50000	0.02000	1000.00000	0.32700	0.03813
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.80000	0.50000	0.02000	1000.00000	0.30500	0.03742
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	0.90000	0.50000	0.02000	1000.00000	0.28300	0.03661
3200.00000	16.00000	20000.00000	0.06813	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.29500	0.03706
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.01000	0.50000	0.02000	1000.00000	1.00000	0.00000
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.81800	0.03136
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.20000	0.50000	0.02000	1000.00000	0.58200	0.04009
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.30000	0.50000	0.02000	1000.00000	0.41600	0.04006
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.40000	0.50000	0.02000	1000.00000	0.36500	0.03913
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.31000	0.03759
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.60000	0.50000	0.02000	1000.00000	0.28300	0.03661
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.70000	0.50000	0.02000	1000.00000	0.26800	0.03600
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.80000	0.50000	0.02000	1000.00000	0.25700	0.03551
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	0.90000	0.50000	0.02000	1000.00000	0.21600	0.03344
3200.00000	16.00000	20000.00000	0.06813	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.22200	0.03378
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.01000	0.50000	0.02000	1000.00000	1.00000	0.00000
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.99100	0.00768
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.20000	0.50000	0.02000	1000.00000	0.73900	0.03569
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.30000	0.50000	0.02000	1000.00000	0.54100	0.04050
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.40000	0.50000	0.02000	1000.00000	0.41500	0.04004
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.36000	0.03901
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.60000	0.50000	0.02000	1000.00000	0.30100	0.03728
3200.00000	16.00000	20000.00000	0.10000	1.00000	0.00005	0.00000	1.50000	0.70000	0.50000	0.02000	1000.00000	0.30000	0.03724
