TotalGenerations	Demes	TotalKappa	migration	isGlobal	mutation	frequency	growth	s	r	z	replicates	Rescue	Error
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.37100	0.03926
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.13200	0.02751
4800.00000	4.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08400	0.02254
4800.00000	4.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.38200	0.03949
4800.00000	4.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.13300	0.02760
4800.00000	4.00000	20000.00000	0.00032	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08800	0.02302
4800.00000	4.00000	20000.00000	0.02154	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.97900	0.01165
4800.00000	4.00000	20000.00000	0.02154	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.61500	0.03955
4800.00000	4.00000	20000.00000	0.02154	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.46000	0.04051
4800.00000	4.00000	20000.00000	0.02154	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.95200	0.01737
4800.00000	4.00000	20000.00000	0.02154	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.51600	0.04061
4800.00000	4.00000	20000.00000	0.02154	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.41300	0.04002
4800.00000	4.00000	20000.00000	0.68129	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	1.00000	0.00000
4800.00000	4.00000	20000.00000	0.68129	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.53500	0.04054
4800.00000	4.00000	20000.00000	0.68129	1.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08800	0.02302
4800.00000	4.00000	20000.00000	0.68129	0.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	1.00000	0.00000
4800.00000	4.00000	20000.00000	0.68129	0.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.22500	0.03394
4800.00000	4.00000	20000.00000	0.68129	0.00000	0.00005	0.00000	1.50000	1.00000	0.50000	0.02000	1000.00000	0.08600	0.02279
4800.00000	8.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.10000	0.50000	0.02000	1000.00000	0.38100	0.03947
4800.00000	8.00000	20000.00000	0.00032	1.00000	0.00005	0.00000	1.50000	0.50000	0.50000	0.02000	1000.00000	0.14500	0.02862
